('000019c5-d0e2-4f15-bd0c-8375a48698e5'	'_KeRaMiS_'	'46.109.172.49')
('1ce19224-19f7-4c55-89ac-71b58cad6fc7'	'Modee_'	'188.47.127.164')
('1ce5b73a-9a29-48bc-a645-8118378507d1'	'DontTryToBeOG'	'217.44.36.174')
('1ce68462-399b-46e9-a54a-1c313f4bcd72'	'dewicrafter'	'113.61.112.8')
('1ce7ae2c-faba-4b27-a39b-4f699b9b6f07'	'Cutyyyy'	'84.84.63.235')
('1ce7f4fb-4760-405a-a270-c18506a377d8'	'Shadowknight782'	'86.165.88.176')
('1ceacd08-eaa4-4967-b0c3-d1cc7bcdd12c'	'Evule'	'73.22.160.113')
('1ced3599-8988-43eb-8fe3-40b10ff5e3bd'	'Asterix200'	'37.182.169.6')
('1ced4573-97f1-4567-850e-da33300ecc30'	'Ivarklugt'	'81.205.193.56')
('1cf0c9a8-d68b-4114-9461-2a949ee44dda'	'DankWeedBro'	'92.14.229.51')
('1cf43b0e-1204-42b0-a940-9744147ac0eb'	'Niaceen'	'24.4.28.193')
('1cfb4d34-7a55-4760-a7de-76c5fbb34e72'	'Rumai'	'65.35.21.43')
('1cff9677-3d89-4bac-bdcb-55502bfc0e0c'	'PringleFull'	'75.163.93.50')
('1d00bf6c-b6f6-45ef-bb15-7dbbcf943bb7'	'OsamaB1NLagging'	'94.6.70.246')
('1d011986-c74b-422e-8c57-9b66793c8c69'	'SaitoMaligo'	'96.255.202.250')
('1d01db47-5acb-4fc6-80ef-76fb0ce81af1'	'ItzHypnotic'	'94.9.30.140')
('1d01f7ff-2cbc-41ea-aaf7-b4f2519ec3f1'	'IZaikoo'	'46.238.209.45')
('1d07be95-890c-4e12-a751-67411b520d57'	'MVPluraL'	'73.220.198.99')
('1d098914-8921-44fa-b977-949cdb3039a9'	'wGyy'	'82.116.228.71')
('1d0a89a9-15e6-48b3-b571-45eaa151e0ac'	'xDr0uviq'	'80.162.16.9')
('1d0cbe98-78ca-4f43-87c4-919d5bf93b3a'	'barxton8926'	'71.28.167.219')
('1d0df800-6ab8-47c9-a12e-7c6811dcd865'	'Zedify'	'75.134.239.28')
('1d137832-0247-44a6-bbed-f9608768d1b0'	'dylanl19109051'	'123.192.99.245')
('1d16a685-be26-4630-a7af-c4522bb26ad1'	'DJ_Price352'	'50.80.113.143')
('1d1826a2-ebe0-457b-96cd-bdc9a682a27a'	'Scars'	'71.162.174.173')
('1d198c10-7183-4085-919c-0354d0a6f54c'	'NoRelease_'	'151.45.177.2')
('1d1a5fe1-3c10-4ccf-ae3c-90c1b490127e'	'Google_Chorme'	'188.70.52.120')
('1d1b10a8-96e3-4433-8f7b-92797df57663'	'Polski'	'31.53.30.246')
('1d1cb34a-c8fc-4aaa-9a7d-11188151d034'	'MilkSales'	'93.107.10.85')
('1d1ee5bf-3b87-46d6-befa-9e0caa661e7f'	'spooky_sky'	'2.97.123.55')
('1d1ff45c-525e-42fb-9384-86706c63819d'	'V8Dan241'	'95.42.132.22')
('1d2059b1-def0-47cc-a741-5ef0742daff4'	'yungbarber'	'109.108.114.175')
('1d2329e9-b05d-48c1-9dd4-ed77a78f423b'	'Days_i_love'	'73.196.75.135')
('1d25296a-1f08-436b-ad9b-ac72dbe4cfdd'	'KanarioFP'	'80.29.19.190')
('1d26fc38-9cd5-44bf-9c68-c1ebacdfeba6'	'KeelanxHacks'	'167.57.107.115')
('1d2b7f99-7473-4033-b0f2-91e0ecc07d8b'	'MirxAA'	'104.53.52.38')
('1d2efb17-4cd8-4eae-a646-ac779bab2b24'	'TheTinySaurusRex'	'216.165.234.81')
('1d2fdfb5-781f-4b46-b71a-087ba84f4647'	'AmbushMyManbush'	'2.24.209.40')
('1d2feb4c-16a2-4f81-b7f7-396619f5aa2c'	'ddafne'	'187.10.165.165')
('1d35f651-4d3a-4bc4-82a4-31f204ceafa7'	'KinkyBoobah'	'67.184.228.177')
('1d362fd7-7fb2-4f5e-9419-eb765d3b54f6'	'CaughtLive'	'98.113.247.119')
('1d368f6f-735c-4b5a-92b4-57cee336cd60'	'jaja2_0'	'69.157.230.58')
('1d375b65-b271-430a-86f8-5d4c1aca2850'	'benpower100'	'106.68.51.78')
('1d385c56-7bd5-4e25-9fee-0e8f19693b0f'	'kysbailey'	'176.24.194.19')
('1d3ab5e8-b662-4621-bd13-ddc90bec6493'	'Blaiseuh'	'85.169.68.135')
('1d3c0c59-d825-429e-92ed-b0482f5b5f09'	'ashra2564'	'73.138.168.74')
('1d3c593a-f995-4b8c-ad18-26c9b9b085dc'	'lolitsharman'	'73.235.186.109')
('1d432dd0-77ff-4adc-93d9-15022ac53059'	'dragonolt'	'86.8.43.186')
('1d4558c8-6b53-4b96-99cb-4b046792d94a'	'motoboy711'	'69.125.101.189')
('1d4563f8-fa7d-4553-a55f-e634cded2b0d'	'TvT_Monkey'	'213.66.223.188')
('1d520547-56f3-4b3d-98c0-2eeee38aab50'	'QJZ'	'178.119.22.68')
('1d541b98-9cbb-4f0c-97f6-08ef138e9640'	'KYLE123BEAST'	'47.187.11.239')
('1d598fa2-9bd5-4597-b5b9-ec9df9f690a3'	'poortea'	'86.144.80.72')
('1d5c70a2-6385-4a9d-866a-a865117c1991'	'akaCanna'	'82.22.243.176')
('1d5d3eea-1797-4ad7-beb3-3a4ca41350a2'	'FalseHacks'	'64.30.104.219')
('1d60840b-aa20-4411-b58a-55ec35f423c8'	'XxKickAssxX'	'108.29.104.112')
('1d60fbaf-cfe0-418f-ada6-963f9715301e'	'KonWezr'	'178.43.18.111')
('1d610f8f-73cc-4db4-b738-ea17d336ca58'	'PureBean'	'67.8.96.232')
('1d63690c-93f4-4568-871a-6343f242e979'	'MLG_BombayS'	'199.38.233.144')
('1d649bc4-a632-4ce9-94e7-23cb2f6fbbeb'	'Skillfulshoe'	'104.60.26.54')
('1d66fb52-2b3c-49b6-b604-60ad8b688d79'	'_ShaLes_'	'83.154.226.25')
('1d66fe22-8caf-48fd-8a52-74edaa97f6f7'	'loollitsalex'	'195.88.114.44')
('1d696d58-1226-4910-b960-d052ea3db259'	'xXx_KOXYY_xXx'	'46.238.209.45')
('1d6b85f3-ea9d-49b0-973b-065c751d3f55'	'ka40k'	'74.12.72.181')
('1d6cb334-5760-4c39-ba03-5ec6dd9888b2'	'Benny3928'	'71.64.107.31')
('1d6f2578-bcb4-4fa2-b5bd-7839ce58f84c'	'Africo'	'203.220.16.179')
('1d704ff0-d4c0-4bcb-b3f2-bb699007ba13'	'Tanakarobo'	'90.218.254.102')
('1d7787a6-4266-4fb2-8cbb-68ed0bb82645'	'nickyp06'	'90.214.79.227')
('1d7845c6-411e-49e1-9771-30256b674d9d'	'DTREvade'	'71.184.244.251')
('1d7898c3-8d8a-4fb9-a481-e39bad065e89'	'Vouche'	'139.192.9.165')
('1d798805-7305-45b6-bc4c-3408e14dc39e'	'Jackerez'	'46.21.151.107')
('1d7cdeb8-7fdc-4f51-8517-bec7867968d7'	'finessedd'	'24.49.34.220')
('1d7cf3b3-4b24-42cc-bff1-1d659bde4ae7'	'Qzae'	'172.72.241.231')
('1d7e1dd6-d90b-4ec6-8a6a-5118005ca701'	'SquadsToggled'	'82.55.165.246')
('1d81a33a-07ef-4846-9f64-a1a708c7695b'	'DNSGANGMEMBER'	'187.161.95.74')
('1d81c426-1d7a-49f9-8ab2-f50ed03c2ffb'	'Fams_'	'80.101.149.87')
('1d8219f0-11d2-4931-9e9d-6429b8945390'	'MiloThePvP'	'85.76.39.11')
('1d85ac22-86bd-431e-8051-7928de4a5d17'	'Effects'	'173.239.80.59')
('1d86ebe7-9587-4e83-8152-55429c7758d3'	'TheDarkAlphaWolf'	'108.28.245.216')
('1d87eda0-90c0-412c-bdde-62ba3f5103a9'	'WerpyX'	'89.239.21.203')
('1d88322c-6214-4dce-a289-3248e1dbe989'	'Ingros'	'86.14.189.82')
('1d884a86-f19c-482b-82e3-f8b93c1fc68b'	'21Savages'	'99.119.200.9')
('1d8d09af-cffd-4e1d-9e6e-610abd80feeb'	'ImXyNo'	'77.206.239.97')
('1d8d56ae-266d-46fd-a9ef-79967a2d00d6'	'oBanned'	'37.97.56.253')
('1d8ef7fc-327d-490e-856b-795837c27d10'	'PaintCombo_PvP'	'186.22.185.170')
('1d90face-e84f-40ce-a624-a8ea534a2bfc'	'Petsoul'	'212.187.119.75')
('1d91d0e1-f41a-4e4a-abf5-953a47e088f2'	'jkershaw'	'90.193.44.191')
('1d9ce835-6cfc-4a91-a12f-6010a79a3e6d'	'nikeids'	'70.79.152.119')
('1d9d6ca3-10a7-4d19-95e5-e8584d2585fc'	'Epicay'	'75.114.19.17')
('1da02173-a7fc-46d5-a5f3-edbd33da5416'	'geebulls'	'69.8.170.73')
('1da03865-f66b-449a-8285-e9c57d447197'	'wtfreak'	'65.79.129.85')
('1da369a9-2ad9-453a-a973-5f4e401f4140'	'djcam305'	'84.86.190.177')
('1da42cbe-b488-4e89-a53a-b987df62c61f'	'OreoPlayzMC'	'71.203.249.205')
('1da471d8-7393-4e95-bdcc-f5fcf5b6544d'	'mastermerek'	'96.36.42.207')
('1da5c6cb-13f9-4948-b84b-f9e4e4b6a4af'	'Krontol'	'69.242.181.50')
('1da6f316-e2e8-4071-9399-0e7caeccd668'	'iMpamias125'	'87.203.218.140')
('1daac615-6a9e-4dea-915f-f075a9c926aa'	'WARMAAL'	'201.231.1.117')
('1db01a0e-9e52-45fb-abc4-d53e4da02871'	'penquink'	'68.58.5.58')
('1db7a5cd-72d7-421b-8030-cb4082afff9a'	'StickyStrafes'	'110.20.202.66')
('1db7f9ab-1507-4b41-9d81-9b71fd2c9fac'	'Kunu28'	'88.241.106.114')
('1db7fbb8-6bba-4ea3-adc3-7c6f816b28f1'	'Mnblk'	'114.77.205.170')
('1db991e5-4c77-4947-b43f-905cec1247d7'	'Abused'	'74.213.109.182')
('1dc0d011-a514-4c61-94c9-251a04f9ae2d'	'Suso2310'	'93.40.211.133')
('1dc1e76d-9b4b-4da4-8dc0-604f645d6fcd'	'Papp'	'73.109.202.9')
('1dc33539-5095-4219-9abd-58eedcbd4a15'	'Yearlys'	'204.9.19.99')
('1dc3a0f5-70d6-4bdb-b18b-6a2a334b58f4'	'superdude360'	'81.102.53.57')
('1dc3a1b3-cc2a-4789-9afe-48a14d70b0e0'	'seffs'	'216.164.135.228')
('1dc46605-a33b-4a8e-9949-a0ca6b556db4'	'Brrian'	'45.25.225.169')
('1dca3287-785a-4f14-8796-46828942b555'	'Srkillex'	'76.109.162.147')
('1dcb6a96-e672-4dea-9009-844812686709'	'robay'	'108.21.100.67')
('1dcd2f8e-6f9c-48ea-a80f-e9c5d3aa7281'	'vesse123'	'85.253.77.187')
('1dcde4d8-2d12-49d1-8ef8-4408d5196fab'	'ceda_94_'	'89.201.242.151')
('1dcea168-81ad-4856-bd0f-c6f0cd31965c'	'BenCM2'	'72.2.136.144')
('1dcf6932-6056-4f38-a1b8-3dc4b94857a7'	'Thristan'	'5.29.81.17')
('1dd07f2d-6ea1-450b-ad34-f3ebd6de93d4'	'hammy0'	'74.129.225.94')
('1dd0d961-3ff4-4348-a363-b557264a58f9'	'MeatyArmadillo'	'99.91.144.154')
('1dd155c4-62a5-450f-b548-b44cbfdffb91'	'Frost_V2'	'90.92.1.199')
('1dd1b5c3-219e-40a4-8469-fc67266517ad'	'Florens_'	'143.176.101.134')
('1dd2301c-2f9a-49ab-b94f-343e8bebaeb3'	'LilJahh'	'98.203.165.83')
('1dd78b64-a2ae-4a07-920e-c4456640ac41'	'C0nt'	'122.148.135.111')
('1dd929fa-98a4-4ad5-9ca5-0e9e83df82c6'	'PoopAss'	'67.184.228.177')
('1dd9bca8-525e-4b26-a1c6-1aff70fcd6c2'	'Alkaa'	'74.116.95.138')
('1dda72ab-ae65-4e64-a34d-a0c06723c36f'	'Thoragnor'	'109.127.14.5')
('1dde8cb5-3b75-41b5-afb2-a6f236e5e987'	'Synthaex'	'86.93.100.214')
('1ddf541f-bd56-4396-b431-cdb12b9cd32c'	'Jaidk'	'73.221.175.63')
('1de10af2-a330-43e1-974c-5b59f1888859'	'Big_cat22'	'99.246.46.244')
('1de3e28b-102d-4eab-bfd4-e3eb56c0e453'	'Grin'	'31.185.202.141')
('1de80b69-e775-478a-a4b6-573dca2f545a'	'EmilGW'	'176.23.14.202')
('1deb60c9-e944-48f1-afc3-d9143f44bed4'	'CirqleStrafe'	'81.234.196.109')
('1ded887d-4e59-41c9-8b55-091fd8e56e3e'	'Sefeer'	'162.233.72.12')
('1def3c94-0b57-4ef7-b235-53eb873a2f92'	'Grapehead2202'	'90.202.68.161')
('1df0ae56-1d8a-4c27-9fbe-163ae5e2b9e0'	'valitha31'	'86.183.241.131')
('1df2fb22-451b-411d-aa30-38c4a2e88ac7'	'bm40k_2'	'89.243.204.194')
('1df548c7-0b91-4900-a255-991b42b2dea1'	'ToggleSprint_'	'83.154.210.183')
('1e016414-c4f9-4441-a999-d23665558a92'	'F67'	'74.14.28.39')
('1e018e5c-ddd6-4fd6-a116-8d11be7ad530'	'AnismineLP'	'88.212.37.216')
('1e02fafd-f176-4253-9e7e-41acf5683576'	'_VClipped'	'93.137.27.112')
('1e05056e-e70f-4da3-99a1-9e59f8dc4877'	'_strafes_4_days'	'68.49.133.30')
('1e05082f-81a3-4206-8725-a1411fe74a28'	'AtTheEndOfAugust'	'88.107.96.187')
('1e063187-ef76-438f-8985-96c04b2b4f61'	'xVentroxPvP'	'84.184.252.49')
('1e0a4e20-4425-4d30-ac79-1a573aeff80d'	'Prxctice'	'74.67.76.42')
('1e0c12b7-5695-4829-8800-9a0466c7202a'	'Davepx'	'50.162.124.65')
('1e0e5bb6-8a39-473d-9724-ab80403bb76c'	'mariofiero'	'79.52.68.251')
('1e0fdaf1-2718-4d44-a184-e3fc5236d9f4'	'Refusings'	'50.109.235.254')
('1e11013e-2c95-4b27-b30a-6755c16ae1ba'	'ItsKindaPainful'	'77.164.132.208')
('1e125b41-a449-455e-b625-83e31c377cd0'	'MyNamesNotJerry'	'69.167.28.102')
('1e129fb4-8064-4bb2-aa32-b0518d79508d'	'Avil'	'92.232.122.115')
('1e142ea1-7558-4f53-95a9-24b83ecf1847'	'CreepyPastaFTW'	'95.178.205.98')
('1e1ac3e9-c7a9-4d76-b52c-6672329ef365'	'11oz'	'86.155.16.73')
('1e1b3004-45a8-4ffe-abf8-9d835dc59651'	'SpiffyM8'	'192.161.72.108')
('1e1b609b-c65d-4ebe-9c64-1ede6dc07db2'	'yoloswek1'	'84.27.122.18')
('1e1bca44-e37d-4407-b7c4-45c82a83dd20'	'Auzzii'	'149.135.4.43')
('1e1e2a2b-a6de-4ab1-a842-2231d51148cf'	'xAcko'	'178.221.106.113')
('1e223fea-05f5-4493-81fc-5b8759053407'	'xiJustTime'	'93.142.59.209')
('1e22423e-0ee7-4273-88de-9a9c195cf99d'	'feared_420'	'78.69.143.90')
('1e22782d-7888-4586-95ea-32a309cf096f'	'VanHaydn'	'213.186.255.52')
('1e25d059-ae34-4efc-8506-715f678554a8'	'_JakeDaLGiver_'	'113.197.9.242')
('1e26a50b-a543-4869-beef-54250343cfbd'	'Abilityy'	'71.72.20.35')
('1e2788fe-84dc-4494-a081-7613a8390949'	'Walt_'	'50.46.145.192')
('1e2b67b7-eb15-4515-b8a3-d4b825123e66'	'grijze_jager12'	'176.23.82.205')
('1e2d5f01-d0b5-4a76-b55f-d1e0233bd289'	'Cqlton'	'96.55.100.3')
('1e2dadb2-28e6-446b-82fd-d3fa05ee9ed5'	'JakeEdits'	'92.234.54.191')
('1e35829c-352c-4a7c-9a9b-74213c8460c6'	'DreamsForMemes'	'71.206.100.223')
('1e377844-8826-4e1e-9cff-54573b2af719'	'BIGDOGALVIN'	'47.219.167.78')
('1e387937-2baf-469b-9a72-69392845ab71'	'Ehf'	'50.127.121.31')
('1e3a0c87-dd71-4aee-b40d-0704d08fce1c'	'AntTheAntster'	'212.159.22.191')
('1e3a7537-1c65-4241-b513-d2ee194b8156'	'_Slayer2006'	'174.20.250.74')
('1e3ca1a1-9c9d-4644-ab21-b3c6a0ea3fa4'	'Hijacks'	'172.194.194.139')
('1e3d14f5-0e2e-4181-8ade-03cedddb8a11'	'LaOrmy'	'86.184.76.7')
('1e3d8948-30c8-4d42-8e4d-8c0d414548db'	'DouKaRucha'	'179.61.250.197')
('1e3e408e-1b66-4e09-97a8-f88e8c0a0396'	'redzelda1'	'104.193.171.214')
('1e40a2e4-7dde-43e7-a961-20754faf03dd'	'DomboPoes'	'82.74.225.179')
('1e4154ce-b5ee-4a0f-8141-df5a7267a167'	'glitchgang7barki'	'178.85.82.153')
('1e4247ca-19ab-4620-90e3-6c370f8cc5ae'	'Basico'	'201.37.160.12')
('1e4436c4-9ab7-4098-b0cd-ca2aedaf8acc'	'Pugslious'	'101.184.220.67')
('1e4585e5-8c9a-4249-b1dc-6dec257c2a83'	'Crackay'	'176.248.61.143')
('1e45d546-8c9e-46bb-9b1e-08ab6fe49d08'	'Spectated'	'197.89.40.110')
('1e4713f6-4f25-41ea-805e-5daba541c59d'	'MilanPeeters'	'84.198.148.243')
('1e49ca27-82e9-4b1a-92ff-6ad5b2c44694'	'Hauls'	'72.209.245.69')
('1e4a2459-680d-4ada-a166-afb7b3e26a47'	'DroppedOnUr4Head'	'71.90.95.97')
('1e4b2154-9629-4920-8826-a86132839a92'	'ChadWithAnL'	'73.129.181.69')
('1e4b6300-73a7-4a60-a71e-1085939eab0e'	'Luviso_Games'	'90.199.59.184')
('1e4bb4f2-d748-41a9-a945-dde4e62367f0'	'Ez_x3'	'90.224.46.131')
('1e51fad6-ae76-4e40-b2b3-9013c30d043a'	'Gheto'	'173.169.121.163')
('1e556279-b0f6-462b-809e-b2cd3164ab4d'	'MaximusPlayzYT'	'81.151.228.72')
('1e562836-1f08-42df-b104-72c7e5f3f244'	'Beepa'	'151.229.215.18')
('1e565d6e-6fa4-4b45-879d-00d5e00af26e'	'silasR_minecraft'	'77.170.62.9')
('1e5920db-78ce-4138-b3f0-3aaba3eed34d'	'Marvin110993'	'192.240.97.84')
('1e592ad9-1faa-40fd-add9-b973ea5eaad2'	'TewHD'	'119.156.87.43')
('1e5c6c10-5e17-4e37-a57a-875fbef444e5'	'aurel212'	'88.113.125.79')
('1e5ca854-9241-4b98-8e01-8b1ae7e3313a'	'Kotteeen'	'2.249.12.185')
('1e604f81-26ed-4907-9e55-ca3b819e4302'	'Cro_Player'	'93.139.188.144')
('1e6207c0-9304-41de-b1f1-34c8f5019881'	'minecrafter1732'	'50.3.71.166')
('1e637a37-11b3-4707-9950-5ee5db52c4a7'	'IMakeYouTriggerd'	'1.136.97.119')
('1e659a32-4036-4bfb-a6e4-648ba7d9ddf6'	'Eltomoloco'	'89.98.134.178')
('1e6643e4-b1b3-4184-b026-198544a17734'	'Krasic_J3bach'	'109.92.208.190')
('1e673292-ef6c-4984-b9a5-596f146ab406'	'KotekPlaYGame'	'79.74.191.84')
('1e6856fa-eae1-4d89-9e25-7c957f9f66a1'	'BlitzTGM'	'76.122.182.94')
('1e6a4c29-f24e-4191-8cb4-999be3dbb11b'	'Vilanka'	'95.68.32.200')
('1e6bd425-8b2c-4303-adea-a7cf440b978c'	'iNayzoX'	'185.145.65.40')
('1e6d179a-215f-4d62-b591-cc32d3cbae82'	'FixerPvP'	'181.49.79.113')
('1e6d1902-6094-4e86-ab78-20e7259c73d5'	'A_TACO_BOY'	'173.72.196.67')
('1e6f275a-1092-4b4a-9c15-fbd253284a33'	'IXII'	'86.170.35.149')
('1e6f2e26-3e67-4998-881f-bc5db028e62a'	'MART0NA'	'178.77.232.139')
('1e71347c-abc9-4af8-910b-27138f504e95'	'Mystiquo'	'68.2.117.253')
('1e71ab1d-5453-41b5-9697-6c399d891169'	'Kamiancheese'	'82.9.203.27')
('1e764a3a-bf54-4b3b-96e6-6065edec9f47'	'hittinq_'	'81.28.91.89')
('1e7a76e8-fb9a-442f-ad6f-670bc3124783'	'Azorith'	'98.165.128.124')
('1e7e1127-5600-43a9-8d66-c7a296855fce'	'GJ__Tasty'	'86.81.245.30')
('1e7e682c-0f73-42fb-a32f-10099b413c78'	'kjs321'	'162.194.28.235')
('1e83cff9-c38d-4f79-a934-fc474c7107cf'	'M1K3_Strqfe'	'95.47.219.218')
('1e844c3d-1595-48ef-a95b-eb84c942cab5'	'Cyclopaedia'	'74.14.28.39')
('1e8cb282-208d-4c62-adf1-8dc60460a390'	'Controllah'	'173.62.65.203')
('1e8f44c9-6cbe-453b-a826-72e9ca2a62e4'	'itsjordan10'	'69.157.230.58')
('1e9001cb-76cb-4cc9-ae73-bbf981ce9206'	'MagikzARG'	'181.23.23.94')
('1e916258-aaee-4368-a5d0-524c297d7392'	'FlawsYT'	'50.143.143.233')
('1e9419ab-f1b8-4f10-93bb-5cc2b75daec2'	'LiquidFat'	'98.235.195.180')
('1e94e961-6d40-4eb1-a85d-ef4c8a6459ff'	'HeadHonchoPugzy'	'68.150.92.5')
('1e974206-3332-49f3-9d0e-a4aa2731bfb2'	'__ICallhacks__'	'71.85.11.225')
('1e97a7fd-85dd-4590-990d-a84eb71b70d3'	'TardOnWheelz'	'73.119.162.255')
('1e9992a7-7691-41e0-86cc-51991054f491'	'roybannanaboy'	'77.250.40.105')
('1e999fff-7ea2-4e0c-9744-44f6d26067c7'	'KaasPlankie'	'178.85.113.97')
('1e9c5932-f072-4cda-9889-6cedb7bade72'	'Arzane'	'50.150.91.182')
('1e9d4af0-47f4-4707-abd5-e521c56843d3'	'SpongeBobSquareL'	'98.210.63.120')
('1e9e0218-cea1-4b36-b926-8118cffbd95d'	'Aroca'	'101.186.172.23')
('1e9e4a83-a07c-4bcb-92dc-b65d59b7a03a'	'FreeWifi_'	'99.232.81.99')
('1e9ecda6-5316-4263-860c-84d4203b02ef'	'DarkAssassinG0D'	'200.83.230.14')
('1e9fa3bc-ebd8-4653-b490-8ffd442162a4'	'Mikey_21_'	'73.46.61.8')
('1ea153ed-ea1b-400f-b436-00687576793b'	'Arlenion'	'179.43.168.46')
('1ea228b5-d6eb-49b8-8809-1ca3e7c88c73'	'Itz_Dounuts'	'140.190.34.8')
('1ea2b697-b0a0-4e2c-985b-ff6f3f552f5f'	'Conservancy'	'47.196.219.35')
('1ea38253-cafa-488d-a657-70194c8deff5'	'Alexia_M7399'	'173.170.171.23')
('1ea53354-f330-44ec-8744-d9af8e00f3b5'	'Horseluv108'	'94.192.18.117')
('1ea959fc-5db1-4426-82b0-609cdf4101e3'	'Cleveage'	'79.101.161.175')
('1eaa70f6-1c56-44f2-affa-d19f9bfc832a'	'combokid'	'98.169.37.207')
('1eae02e9-d6f8-4ef5-93c8-c802e1342445'	'Tendai'	'47.199.155.118')
('1eaf9652-c8a1-493b-87bc-1c933a23169e'	'BraianDelaVilla'	'179.62.42.99')
('1eb415f7-45ec-44b4-a2bf-3c18186793f9'	'xGlory'	'68.53.12.20')
('1eb449b4-3d0f-42a2-8daa-239130564348'	'KillaMC'	'76.109.162.147')
('1eb56f9c-d336-4d3a-b5ee-40e0c847ce35'	'zVapePanda'	'50.123.247.150')
('1eb5d854-2258-4afa-afdd-bd524e8edfa2'	'Viking_Deanvar'	'50.186.99.139')
('1eb5f3bb-967e-4960-aa17-ffe0f4f2d57b'	'kyaxgod'	'93.136.126.80')
('1eb80b69-ed34-489e-a513-45f6f3dd8b8b'	'ShowMyPeeng'	'2.42.74.204')
('1eb8fa3c-e7ec-4c3b-a166-548caf2afefa'	'Pichu_172'	'47.208.5.253')
('1eba89b6-f1c8-4b3c-8364-52cb173eae39'	'NotClient'	'84.232.62.193')
('1ebe39b2-353b-42e1-b380-567a6e6cced8'	'StrattonVT'	'73.35.61.78')
('1ec016b2-24a4-406b-9379-afa213f9abc9'	'DubstepMonkey97'	'73.148.69.176')
('1ec11416-f666-4446-8914-15f4ce803d31'	'Incineratin'	'192.0.198.26')
('1ec388a0-8a62-48a8-a6c9-2f346579f457'	'lolsike'	'108.29.208.50')
('1ec7b68c-5573-4f78-a4ec-e072450a469b'	'USAA'	'47.204.253.232')
('1ec83735-521d-4d00-b1d8-276e3e971183'	'lHype'	'190.82.32.194')
('1eca8a06-a1f7-474c-8e66-7f1c87109b7e'	'SDB072402'	'99.67.89.214')
('1ecb2faa-6bea-44d4-a0c9-4cb756424618'	'Scuffyy'	'23.123.132.116')
('1ecb8890-fea4-42a1-bb14-d143a8317203'	'mXgma'	'88.201.58.223')
('1ecc2570-fa7b-48af-86aa-6c652ca8b169'	'Joshua57000'	'104.174.95.201')
('1ece3c86-8d4f-4c5d-9f80-6b222ac4852a'	'MochaLatte3'	'24.40.248.245')
('1ecf0c7e-804a-4883-acea-559c3d00de78'	'ItzNotTrustable'	'50.156.183.128')
('1ecf7ad0-6078-4b31-a21c-5ff4e71196c2'	'MertoPvp'	'77.53.172.137')
('1ed1c56f-b67d-446c-b471-8e7c5d13eed8'	'draconia123'	'85.73.49.182')
('1ed58527-4fc8-47de-ad28-963ed6029272'	'Concussed'	'173.49.111.161')
('1ed7631b-050d-404b-bf2e-9a5f69112423'	'NeroW_YTB'	'24.226.168.77')
('1edacbba-2cb8-4675-9f20-e37af2fd51f7'	'xWombo14'	'190.72.149.219')
('1edaede4-b5ee-4045-8260-b230c659f532'	'iTzDragonzz_'	'91.154.185.147')
('1edb631d-7dd3-4e4d-a021-bd52a9e8b644'	'notAmazeman'	'67.246.187.218')
('1edcae31-6c23-4bd8-8da2-0a2a28bfed23'	'zfu'	'98.160.109.67')
('1edd0ea1-8169-42ab-a8e6-0b71936b6da6'	'xFatFiaskox'	'122.27.255.146')
('1ee0bf53-599f-47ba-8857-09585eeb611d'	'BobTheKnowItAll'	'68.8.73.122')
('1ee334b8-f3e5-4fef-8904-c52cf4a17578'	'AshitakaLuka'	'94.218.168.101')
('1ee89f84-212e-4761-897b-62539248ce1a'	'Qinza'	'73.129.126.115')
('1ee8bc16-1e3c-441b-9c8e-b13d1bf31d28'	'ManBreaks__'	'5.89.244.7')
('1ee9891c-3e61-4024-b2e3-a07c05907612'	'Clap'	'204.195.35.34')
('1eecb4a9-22b8-4cef-88bc-338ceb0ed8a2'	'HackingL'	'75.157.187.27')
('1eeee38d-0998-4548-a6e0-21b16481b410'	'Flirtmove'	'82.170.155.97')
('1ef0edd7-2a74-4f7e-8f13-0a17db270122'	'blackpanther247'	'82.38.55.115')
('1ef16e36-1ba7-4dd6-a1f2-43f4c5ac9a68'	'Verzide_420'	'108.21.9.168')
('1ef176f3-312d-46b1-9182-e1593e661b7d'	'agma'	'82.170.155.97')
('1ef193cb-52b1-4c3b-8629-6bc8f24a3a5e'	'RealTrill'	'73.210.144.35')
('1ef9fd71-d3c3-4569-9718-a8047accf2bd'	'Chatxo'	'84.27.199.210')
('1efe19a6-4a90-45b7-b84b-87613505e660'	'Chawdluh'	'176.221.120.220')
('1f049c8c-2331-4390-a61b-8a792bd75f96'	'Surprisings'	'165.120.53.72')
('1f04c691-46fb-45ee-8880-04d9189369c1'	'SyB_DryZii'	'5.51.7.203')
('1f073061-cf95-42b1-9251-0ccbe54ee555'	'Drayxx'	'76.68.189.28')
('1f07cdee-e7d5-4f4c-9c7b-09489e971024'	'MyMomsDankMemes'	'92.237.38.12')
('1f0b653a-add1-4e29-8371-007d7ee2e164'	'HownK_'	'88.186.112.175')
('1f0e3e81-ff6d-49ee-8796-10ea5bf7b7dc'	'RageFam'	'86.88.36.46')
('1f11996c-b8db-4075-9219-352e4038a280'	'Drunq'	'101.173.206.54')
('1f152f38-c1e2-4de4-846b-144d352db906'	'AdeKhey_'	'178.195.179.234')
('1f19f6b9-b1f5-43fe-93fa-da221ff02e3a'	'Kestralthebloody'	'67.171.51.109')
